Product Name,Category,Group,Volume,COGS ($),MSRP ($),Gross Profit ($),BMN Net Margin (%),Key Ingredients,Certifications,Ideal For,Generic Images,Has Branded Design,In Bundles,URL,INCI Ingredients
Ceramide Barrier Night Cream,Moisturizer,Face Care,50 ml / 1.69 fl oz,21.41,30.0,8.59,28.5,Ceramides | Aloe Juice | Jojoba Oil | Sunflower Oil | Cocoa Butter | Shea Butter | Sodium PCA | Hyaluronic Acid,Gluten Free | Nut Free | Vegan | Natural Certified | Allergen Label Free | Ecocert COSMOS Natural,"Normal, Dry skin types",5,No,Deep Hydration Ritual,https://www.selfnamed.com/en/private-label-products/face-care/ceramide-hydrating-night-cream,"Aloe Barbadensis (Aloe) Leaf Juice, Theobroma Cacao (Cocoa) Seed Butter, Simmondsia Chinensis (Jojoba) Seed Oil, Helianthus Annuus (Sunflower) Seed Oil, Dicaprylyl Carbonate, Pentylene Glycol, Polyglyceryl-6 Stearate, Cetearyl Alcohol, Glycerin, Helianthus Annuus (Sunflower) Seed Cera, Butyrospermum Parkii (Shea) Butter, Olea Europaea (Olive) Oil Unsaponifiables, Sodium PCA, Palmitic Acid, Stearic Acid, Polyglyceryl-6 Behenate, Parfum, Cellulose, Rhus Verniciflua Peel Cera / Rhus Succedanea Fruit Cera, Shorea Robusta Resin, Hippophae Rhamnoides (Sea Buckthorn) Fruit Extract, Xanthan Gum, Paeonia Lactiflora (Peony) Root Extract, Sambucus Nigra (Elder) Fruit Extract, Vaccinium Macrocarpon (Cranberry) Seed Oil, Glycosphingolipids, Glycolipids, Aqua, Sodium Phytate, Ascorbyl Palmitate, Tocopherol, Lactic Acid, Sodium Hyaluronate, Linalool, Limonene"
Bioactive Prebiotics Jelly Serum,Serum,Face Care,30 ml / 1.01 fl oz,17.77,22.0,4.23,28.2,Prebiotics (Lactobacillus Ferment Lysate) | Hyaluronic acid | Sodium PCA,Ecocert COSMOS Natural | Dermatologically tested | Gluten Free | Nut Free | Vegan,All skin types,6,No,Clear Skin Reset,https://www.selfnamed.com/en/private-label-products/face-care/bioactive-prebiotics-jelly-serum,"Aqua/Water, Alcohol, Glycerin, Sodium PCA, Cellulose Gum, Algin, Lactobacillus Ferment Lysate, Parfum/Fragrance, Sodium Phytate, Potassium Sorbate, Sodium Benzoate, Hydrolyzed Hyaluronic Acid, Sodium Hyaluronate, Pogostemon Cablin Oil"
Double Hydration Boost Gel + HA,Moisturizer,Face Care,30 ml / 1.01 fl oz,17.77,22.0,4.23,28.2,Sodium PCA | Hyaluronic Acid | Aloe Leaf Juice | Sage Extract | White Tea Extract,Gluten Free | Nut Free | Vegan | Natural Certified | Allergen Label Free | Ecocert COSMOS Natural,"Mature, Normal skin",5,No,Deep Hydration Ritual,https://www.selfnamed.com/en/private-label-products/face-care/double-hydration-boost-gel,"Aloe Barbadensis (Aloe) Leaf Juice, Pentylene Glycol, Butylene Glycol, Glycerin, Sodium PCA, Aqua/Water, Propanediol, Cellulose Gum, Parfum/Fragrance, Algin, Camellia Sinensis (White Tea) Leaf Extract, Salvia Officinalis (Sage) Leaf Extract, Hydrolyzed Hyaluronic Acid, Lactic Acid, Sodium Hyaluronate, Sodium Phytate, Rhamnose, Glucose, Glucuronic Acid"
Nourishing Facial Oil,Facial Oil,Face Care,30 ml / 1.01 fl oz,19.74,26.0,6.26,27.8,Jojoba oil | Berry extract | Argan oil | Avocado oil,Ecocert COSMOS Organic | Gluten Free | Vegan | Organic Certified,"Dry, Mature skin types",7,No,None,https://www.selfnamed.com/en/private-label-products/face-care/nourishing-facial-oil-3,"Simmondsia Chinensis (Jojoba) Seed Oil, Decyl Cocoate, Solanum Lycopersicum (Tomato) Fruit Extract, Hippophae Rhamnoides (Sea Buckthorn) Fruit Extract, Undecane, Tridecane, Argania Spinosa (Argan) Kernel Oil, Rubus Chamaemorus (Cloudberry) Fruit Extract, Tocopherol, Persea Gratissima (Avocado) Oil, Prunus Amygdalus (Almond) Dulcis Oil, Prunus Armeniaca (Apricot) Kernel Oil, Parfum, Borago Officinalis (Borage) Seed Oil, Oenothera Biennis (Evening Primrose) Oil, Prunus Domestica (Plum) Seed Oil, Vaccinium Myrtillus (Blueberry) Seed Oil, Linalool, Limonene, Citronellol, Geraniol"
Retinol Alternative Eye Serum,Eye Cream,Face Care,15 ml / 0.51 fl oz,18.81,24.0,5.19,27.8,Aloe Juice | Sodium PCA | Vitamin C | Hyaluronic Acid | Vitamin E | Bidens Pilosa Extract (Retinol Alternative) | Jojoba Oil | Castor Oil,Gluten Free | Vegan | Ecocert COSMOS Natural,All skin types,7,No,None,https://www.selfnamed.com/en/private-label-products/face-care/retinol-alternative-eye-serum,"Aloe Barbadensis (Aloe) Leaf Juice, Glycerin, Coconut Alkanes, Pentylene Glycol, Aqua/Water, Simmondsia Chinensis (Jojoba) Seed Oil, Sodium PCA, Polyglyceryl-6 Stearate, Glyceryl Stearate Citrate, Borago Officinalis (Borage) Seed Oil, Caprylic/Capric Triglyceride, Dipalmitoyl Hydroxyproline, Ricinus Communis (Castor) Seed Oil, Astrocaryum Murumuru Seed Butter, Gossypium Herbaceum Seed Oil, Bidens Pilosa Extract, Linum Usitatissimum Seed Oil, Parfum/Fragrance, CI 77163 (Bismuth Chloride Oxide), Polyglyceryl-6 Behenate, Rhus Verniciflua Peel Cera/Rhus Succedanea Fruit Cera, Xanthan Gum, Aesculus Hippocastanum (Horse Chestnut) Seed Extract, Cellulose, Tocopherol, Ascorbyl Palmitate, Potassium Hydroxide, Mangifera Indica (Mango) Seed Butter, Hydrolyzed Hyaluronic Acid, Sodium Hyaluronate, Sodium Phytate, Octyldodecanol, Alteromonas Ferment Extract, Phenethyl Alcohol, Escin, Geraniol, Citronellol, Pelargonium Graveolens Flower Oil, Linalool, Citral"
AHA Peeling Concentrate,Peel/Exfoliator,Face Care,30 ml / 1.01 fl oz,18.81,24.0,5.19,27.8,10% Lactic Acid | 1% Hyaluronic Acid | Sage Extract | White Tea Extract,Gluten Free | Nut Free | Vegan | Natural Certified | Allergen Label Free | Ecocert COSMOS Natural,All skin types,5,No,Brightening Glow Kit,https://www.selfnamed.com/en/private-label-products/face-care/aha-peeling-concentrate,"Aqua/Water, Lactic Acid, Pentylene Glycol, Potassium Hydroxide, Butylene Glycol, Glycerin, Sodium Hyaluronate, Camellia Sinensis (White Tea) Leaf Extract, Salvia Officinalis (Sage) Leaf Extract"
All-In-One Facial Oil,Facial Oil,Face Care,30 ml / 1.01 fl oz,19.74,26.0,6.26,27.8,Jojoba Seed Oil | Avocado Oil | Almond Oil | Evening Primrose Oil | Sea-Buckthorn Oil | Raspberry Seed Oil | Rosehip Oil | Olive Oil | Apricot Kernel Oil | Oat Kernel Oil | Plum Seed Oil,Vegan | Organic Certified | COSMOS ORGANIC Certified,"Dry, Mature skin",6,No,None,https://www.selfnamed.com/en/private-label-products/face-care/all-in-one-facial-oil,"Simmondsia Chinensis (Jojoba) Seed Oil, Decyl Cocoate, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Dicaprylyl Carbonate, Rosa Canina (Rosehip) Fruit Extract, Coco-Caprylate/Caprate, Hippophae Rhamnoides (Sea Buckthorn) Fruit Oil, Parfum/Fragrance, Tocopherol, Undecane, Olea Europaea (Olive) Fruit Oil, Persea Gratissima (Avocado) Oil, Prunus Armeniaca (Apricot) Kernel Oil, Tridecane, Oenothera Biennis (Evening Primrose) Oil, Prunus Domestica (Plum) Seed Oil, Avena Sativa (Oat) Kernel Oil, Rubus Idaeus (Raspberry) Seed Oil, Solanum Lycopersicum (Tomato) Fruit Extract, Limonene, Citrus Aurantium Bergamia Peel Oil, Citrus Aurantium Peel Oil, Citrus Limon Peel Oil, Linalyl Acetate, Citronellol, Pinene, Linalool, Geranyl Acetate, Geraniol, Citral, Mentha Viridis Leaf Oil, Terpinolene, Carvone, Benzyl Salicylate"
Gentle Cleansing Milk,Cleanser,Face Care,190 ml / 6.42 fl oz,17.96,20.0,2.04,27.7,Shea Butter | Argan Oil | Avocado Oil | Jojoba Oil | Flower Extract,Gluten Free | Nut Free | Vegan | Organic Certified | Allergen Label Free | Ecocert COSMOS Organic | COSMOS ORGANIC Certified,"Normal, Mature skin",4,Yes,Anti-Aging Powerhouse,https://www.selfnamed.com/en/private-label-products/face-care/gentle-cleansing-milk,"Aqua, Helianthus Annuus (Sunflower) Seed Oil, Sucrose Distearate, Glycerin, Dicaprylyl Carbonate, Isoamyl Laurate, Sucrose Stearate, Butyrospermum Parkii (Shea) Butter, Sodium Levulinate, Palmitic Acid, Stearic Acid, Xanthan Gum, Parfum, Sodium Anisate, Argania Spinosa (Argan) Kernel Oil, Persea Gratissima (Avocado) Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Lactic Acid, Centaurea Cyanus (Cornflower) Flower Extract, Paeonia Lactiflora (Peony) Root Extract, Ascorbyl Palmitate, Sodium Phytate, Tocopherol, Linalool, Limonene, Benzyl Salicylate, Citral"
Pigment Perfecting Serum,Serum,Face Care,30 ml / 1.01 fl oz,19.85,26.0,6.15,27.4,Sodium PCA | Vitamin E | Alpha-Arbutin | Astrocaryum Murumuru Seed Butter,Gluten Free | Nut Free | Vegan | Natural Certified | Ecocert COSMOS Natural,All skin types,5,No,None,https://www.selfnamed.com/en/private-label-products/face-care/pigment-perfecting-serum-2,"Aqua, Glycerin, Caprylic/Capric Triglyceride, Helianthus Annuus (Sunflower) Seed Oil, Pentylene Glycol, Cetearyl Alcohol, Sodium PCA, Glyceryl Stearate Citrate, Alpha-Arbutin, Astrocaryum Murumuru Seed Butter, Gossypium Herbaceum Seed Oil, Bidens Pilosa Extract, Cellulose, Linum Usitatissimum Seed Oil, Parfum, Xanthan Gum, Ascorbyl Palmitate, Lactic Acid, Ascophyllum Nodosum Extract, Sodium Phytate, Hydrolyzed Hyaluronic Acid, Sodium Hyaluronate, Tocopherol, Limonene, Citrus Limon Peel Oil, Pogostemon Cablin Oil, Linalool, Juniperus Virginiana Oil, Cedrus Atlantica Oil/Extract, Pinene, Vanillin, Menthol, Citral, Beta-Caryophyllene"
Vitamin C Serum,Serum,Face Care,30 ml / 1.01 fl oz,19.85,26.0,6.15,27.4,2% Natural Vitamin C (Ascorbyl Glucoside) | 1% Ferulic Acid | 1% Sea-Buckthorn Oil | Vitamin E | Jojoba Seed Oil | Almond Oil | Avocado Oil | Rosehip Seed Oil | Sodium PCA | Hyaluronic Acid,Gluten Free | Vegan | Natural Certified | COSMOS NATURAL Certified,All skin types,5,No,Brightening Glow Kit,https://www.selfnamed.com/en/private-label-products/face-care/vitamin-c-serum,"Aqua/Water, Glycerin, Cetearyl Alcohol, Simmondsia Chinensis (Jojoba) Seed Oil, Pentylene Glycol, Butylene Glycol, Ascorbyl Glucoside, Glyceryl Stearate Citrate, Sodium PCA, Polyglyceryl-6 Stearate, Caprylic/Capric Triglyceride, Ferulic Acid, Hippophae Rhamnoides (Sea Buckthorn) Fruit Oil, Tocopherol, Coco-Caprylate/Caprate, Dicaprylyl Carbonate, Isoamyl Laurate, Triheptanoin, Potassium Hydroxide, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Parfum/Fragrance, Cellulose, Sodium Citrate, Xanthan Gum, Polyglyceryl-6 Behenate, Persea Gratissima (Avocado) Oil, Rosa Canina (Rosehip) Fruit Oil, Ascorbyl Palmitate, Ricinus Communis (Castor) Seed Oil, Hydrolyzed Hyaluronic Acid, Sodium Hyaluronate, Sodium Phytate, Citric Acid, Limonene, Citrus Aurantium Peel Oil, Geranyl Acetate, Citrus Limon Peel Oil, Linalool, Pinene, Geraniol, Pelargonium Graveolens Flower Oil, Citronellol, Vanillin, Beta-Caryophyllene, Carvone"
Collagen Boost Serum,Serum,Face Care,30 ml / 1.01 fl oz,20.89,28.0,7.11,27.1,Sodium PCA | Hyaluronic Acid | Sunflower Oil,Gluten Free | Nut Free | Vegan | Natural Certified | COSMOS NATURAL Certified,"Mature, Dry skin types",4,No,None,https://www.selfnamed.com/en/private-label-products/face-care/collagen-boost-serum,"Aqua, Glycerin, Caprylic/Capric Triglyceride, Helianthus Annuus (Sunflower) Seed Oil, Pentylene Glycol, Cetearyl Alcohol, Glyceryl Stearate Citrate, Sodium PCA, Cellulose, Parfum, Hydrolyzed Hyaluronic Acid, Xanthan Gum, Glyceryl Caprylate, Nasturtium Officinale (Watercress) Flower/Leaf Extract, Sambucus Nigra (Elder) Fruit Extract, Ascorbyl Palmitate, Sodium Hyaluronate, Sodium Phytate, Potassium Hydroxide, Linalool, Geraniol, Citronellol"
Hydrating Toner,Toner,Face Care,200 ml / 6.76 fl oz,16.4,16.0,-0.4,25.6,Rose Water | Hyaluronic Acid,Ecocert COSMOS Natural | COSMOS NATURAL Certified,"Dull skin, Dry skin, Mature skin",5,No,Deep Hydration Ritual,https://www.selfnamed.com/en/private-label-products/face-care/hydrating-toner,"Aqua, Rosa Damascena (Rose) Flower Water, Glycerin, Sodium PCA, Benzyl Alcohol, Chamomilla Recutita (Camomile) Flower Extract, Fragaria Ananassa (Strawberry) Fruit Extract, Sodium Benzoate, Potassium Sorbate, Sodium Hyaluronate, Lactic Acid, Citric Acid"
Purifying Toner,Toner,Face Care,200 ml / 6.76 fl oz,16.4,16.0,-0.4,25.6,Lavender flower water | Salicylic acid | Cucumber extract,Gluten Free | Nut Free | Vegan | Natural Certified | Allergen Label Free | Fragrance Free | Ecocert COSMOS Natural,Oily and mixed skin type,5,No,Clear Skin Reset,https://www.selfnamed.com/en/private-label-products/face-care/purifying-toner,"Aqua, Alcohol, Lavandula Angustifolia (Lavender) Flower Water, Glycerin, Betaine, Propanediol, Acorus Calamus (Sweet Flag) Root Extract, Cucumis Sativus (Cucumber) Fruit Extract, Salicylic Acid, Benzyl Alcohol, Sodium Benzoate, Potassium Sorbate, Rhamnose, Glucose, Glucuronic Acid"
Moisturising Day Cream,Moisturizer,Face Care,15 ml / 0.51 fl oz,20.37,26.0,5.63,25.4,Hyaluronic acid | Bisabolol | Rowanberry Extract,Gluten Free | Nut Free | Vegan | Natural Certified | Ecocert COSMOS Natural | COSMOS NATURAL Certified,Normal to dry skin,7,No,None,https://www.selfnamed.com/en/private-label-products/face-care/moisturising-day-cream-3,"Aloe Barbadensis (Aloe) Leaf Juice, Caprylic/Capric Triglyceride, Simmondsia Chinensis (Jojoba) Seed Oil, Glycerin, Glyceryl Stearate Citrate, Pentylene Glycol, Cetearyl Alcohol, Betaine, Dicaprylyl Carbonate, Parfum, Palmitic Acid, Stearic Acid, Xanthan Gum, Bisabolol, Nasturtium Officinale (Watercress) Flower/Leaf Extract, Rubus Fruticosus (Blackberry) Fruit Extract, Sorbus Aucuparia (Rowan) Fruit Extract, Ascorbyl Palmitate, Rubus Idaeus (Raspberry) Seed Oil, Tocopherol, Aqua, Hydrolyzed Hyaluronic Acid, Sodium Hyaluronate, Sodium Phytate, Potassium Hydroxide, Benzyl Salicylate, Limonene, Citral, Linalool"
